Название;Описание товара;Артикул товара;Бренд товара;Характеристика товара;Ссылка на изображение;Наличие товара;Цена;Каталог товара
Семена арбуза Красень 1 г (КОСТЮК);Нет описания;6409;КОСТЮК;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Шаровидная; Упаковка Мини пакет; Фасовка 1 г; Торговая марка Костюк";https://semena.market/images/product/463x463/9024.jpg;Нет в наличии;0;КОСТЮК
Семена арбуза Огонек 1 г (КОСТЮК);Нет описания;6412;КОСТЮК;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка Костюк";https://semena.market/images/product/463x463/3425.jpg;Нет в наличии;0;КОСТЮК
Семена арбуза Сахарный малыш (Sugar baby) 1 г (КОСТЮК);Нет описания;6413;КОСТЮК;"Срок созревания Ранний; Посадка; Сбор урожая; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка Костюк";https://semena.market/images/product/463x463/3422.jpg;Нет в наличии;3,67;КОСТЮК
Семена арбуза Волшебник 1 г (КОСТЮК);Нет описания;6414;КОСТЮК;"Срок созревания Ранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка Костюк";https://semena.market/images/product/463x463/3421.jpg;Нет в наличии;0;КОСТЮК
Семена арбуза Кримсон свит 1 г (КОСТЮК);Нет описания;6411;КОСТЮК;[];https://semena.market/images/product/463x463/9961.jpg;Нет в наличии;0;КОСТЮК
Семена арбуза Альянс 5 г (КОСТЮК);Нет описания;3188;КОСТЮК;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 5 г; Торговая марка Костюк";https://semena.market/images/product/463x463/9962.jpg;Нет в наличии;0;КОСТЮК
Семена арбуза Красень 5 г (КОСТЮК);Нет описания;3190;КОСТЮК;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Шаровидная; Упаковка Мини пакет; Фасовка 5 г; Торговая марка Костюк";https://semena.market/images/product/463x463/9963.jpg;Нет в наличии;7,75;КОСТЮК
Семена арбуза Княжич 5 г (КОСТЮК);Нет описания;3226;КОСТЮК;"Срок созревания Ранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округло-овальная; Упаковка Мини пакет; Фасовка 5 г; Торговая марка Костюк";https://semena.market/images/product/463x463/9964.jpg;Нет в наличии;7,75;КОСТЮК
Семена арбуза Астраханский 2 г. (АгроВест);Нет описания;115;АгроВест;"Срок созревания Ранний; Посадка парник: IV; грунт: IV-V; Сбор урожая VII-VIII; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округло-овальная; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/13505.jpg;Нет в наличии;5;АгроВест
Семена арбуза Баджо F1 (инкрустация) 1 г (АгроВест);Нет описания;116;АгроВест;"Срок созревания Ранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VII-IX; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/13506.jpg;Нет в наличии;9;АгроВест
Семена арбуза Барбадос F1 инкрустация 1 г (АгроВест);Нет описания;117;АгроВест;"Срок созревания Среднеранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VII-IX; Кожура Серо-зеленая; Мякоть Красная; Форма плода Округло-овальная; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/13507.jpg;Нет в наличии;9;АгроВест
Семена арбуза Клондайк 1 г (АгроВест);Высокоурожайный оригинальный сорт арбуза среднераннего срока созревания (90-95 дней). Растение мощное. Плоды продолговатой, овально-удлиненной формы, весом 12-13 кг, светло-зеленого цвета с темно-зелеными полосками вдоль плода. Мякоть плотная, темно-красного цвета, с высоким содержанием сахара. Кожура тонкая, но очень прочная. Сорт с высокими товарными качествами. Транспортабельный.;119;АгроВест;"Срок созревания Среднеранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VIII-IX; Кожура Светло-зеленая; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/13502.jpg;Нет в наличии;8;АгроВест
Семена арбуза Княжич 5 г (АгроВест);Нет описания;121;Нет бренда;"Срок созревания Сверхранний; Посадка парник: IV; грунт: IV-V; Сбор урожая VIII-IX; Кожура Светло-зеленая; Мякоть Красная; Форма плода Округло-овальная; Упаковка Мини пакет; Фасовка 5 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/3806.jpg;Нет в наличии;14;Нет каталога
Семена арбуза Кримсон свит 2 г. (АгроВест);Среднеранний. Срок созревания 75-85 дней. Плоды массой 8-15 кг, округлой формы с продольными темно-зелеными полосами. Мякоть красная, плотная, очень сладкая с высокими вкусовыми качествами. Плоды формируются одинакового размера. Устойчив к фузариозу, антракнозу и мучнистой росе. Транспортабельность хорошая.;123;АгроВест;"Срок созревания Среднеранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VII-IX; Кожура Светло-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/13503.jpg;Нет в наличии;5;АгроВест
Семена арбуза Огонек 1 г (АгроВест);Раннеспелый сорт. Период от полных всходов до первого сбора плодов 70-80 дней. Растение среднеплетистое. Плоды шаровидные, черно-зеленые со скрытым рисунком. Масса 1,7-3 кг. Мякоть красная, нежная, зернистая, сладкая. Устойчивый к пониженным весенним температурам.;124;АгроВест;"Срок созревания Ранний; Посадка парник: IV; грунт: IV-V; Сбор урожая VII-VIII; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/5711.jpg;Нет в наличии;4,5;АгроВест
Семена арбуза Снежок 1 г (АгроВест);Сорт позднего срока созревания, от всходов до начала созревания плодов 82-108 дней. Плоды округлой формы, гладкие, цвет плодов светло-зеленый, слегка заметными полосами салатового цвета. Мякоть темно-розового цвета, зернистая, сочная, очень сладкая. Масса среднего плода 5-6 кг. Транспортабельность хорошая.;125;АгроВест;"Срок созревания Поздний; Посадка парник: IV; грунт: V-VI; Сбор урожая VIII-IX; Кожура Светло-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/13504.jpg;Нет в наличии;4,5;АгроВест
Семена арбуза Сфинкс F1 (инкрустация) 10 сем (АгроВест);Нет описания;126;Нет бренда;"Срок созревания Среднеранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VII-IX; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 10 сем; Торговая марка АгроВест";https://semena.market/images/product/463x463/3439.jpg;Нет в наличии;5;Нет каталога
Семена арбуза Сахарный малыш 1 г (АгроВест);Ультраранний сорт, от всходов до начала плодоношения проходит 65-70 дней. Плоды круглые, некрупные, массой 4-5 кг. Поверхность темно-зеленая. Мякоть ярко-красная, нежная, зернистая, очень сладкая.;127;АгроВест;"Срок созревания Сверхранний; Посадка парник: IV; грунт: IV-V; Сбор урожая VIII-IX; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/3848.jpg;Нет в наличии;5;АгроВест
Семена арбуза Чарльстон Грей 1 г (АгроВест);Среднеранний высокоурожайный сорт арбуза, с необычной продолговатой формой. Вегетационный период 85-90 дней. Плоды крупные 12-18 кг, светло-зеленой окраски с легким серым оттенком. Мякоть насыщенно-красного цвета, отличается способностью сохранять свежий сладкий вкус длительное время.;129;АгроВест;"Срок созревания Среднеранний; Посадка парник: IV; грунт:IV-VI; Сбор урожая VIII-IX; Кожура Светло-зеленая; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/3856.jpg;Нет в наличии;5;АгроВест
Семена арбуза Черногорец 5 г (АгроВест);Нет описания;131;АгроВест;"Срок созревания Ранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VII-IX; Кожура Темно-зеленая; Форма плода Округлая; Упаковка Мини пакет; Фасовка 5 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/3884.jpg;Нет в наличии;8;АгроВест
Семена арбуза Яносик 5 шт (АгроВест);Нет описания;132;Нет бренда;"Срок созревания Среднеранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VIII-IX; Кожура Темно-зеленая; Мякоть Желтая; Форма плода Округлая; Упаковка Мини пакет; Фасовка 5 шт; Торговая марка АгроВест";https://semena.market/images/product/463x463/3858.jpg;Нет в наличии;9;Нет каталога
Семена арбуза Голопристанский, 2 г (АгроВест);Раннеспелый сорт. От всходов до начала созревания плодов 63-65 дней. Плоды шаровидной формы. Поверхность гладкая, светло-зеленая, с тонкими темно-зелеными смугами. Мякоть красного цвета, нежная, сочная, сладкая. Масса среднего плода 4,0-5,0 кг. Транспортабельность хорошая. Сорт относительно устойчив к фузариозному увяданию и антракнозу.;118;АгроВест;"Срок созревания Ранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VII-IX; Кожура Светло-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/4283.jpg;Нет в наличии;5;АгроВест
Семена арбуза Красавец, 1 г. (АгроВест);Раннеспелый сорт. От всходов до начала созревания плодов 60-65 дней. Плоды шарообразной формы, поверхность гладкая, черно-зеленого цвета с восковым налетом, массой 4-5 кг. Мякоть нежная, сочная, ярко-красная, сладкая, длительное время сохраняет плотность.;122;АгроВест;"Срок созревания Ранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VII-IX; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/4284.jpg;Нет в наличии;5,5;АгроВест
Семена арбуза Ярило, 1 г (АгроВест);Раннеспелый сорт. Плод шаровидный, массой 4,4-4,7 кг. Мякоть карминно-красная, нежная, сочная, сладкая. До созревания плодов - 61-75 дней после появления всходов. Культура теплолюбивая, чрезвычайно требовательна к свету. Требует легких плодородных почв. Высевать семена на глубину 3-5 см. Норма высева - 0,2-0,3 г/м. При оптимальной температуре прорастания (20-25°С), всходы появляются через 5-6 дней после посева. Сорт устойчив к фузариозу и антракнозу. Транспортабельность хорошая.;133;АгроВест;"Срок созревания Ранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VII-IX; Кожура Темно-зеленая; Мякоть Красная; Форма плода Шаровидная; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/4285.jpg;Нет в наличии;4,5;АгроВест
Семена арбуза Кримсон свит 10 шт (АГРОПАКГРУП);Нет описания;1666;Агропакгруп;"Срок созревания Среднеранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 10 сем; Торговая марка Агропакгруп";https://semena.market/images/product/463x463/4339.jpg;Нет в наличии;8;Агропакгруп
Семена арбуза Чарльстон Грей 10 шт (АГРОПАКГРУП);Нет описания;1667;Агропакгруп;"Срок созревания Среднеранний; Кожура Серо-зеленая; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 10 сем; Торговая марка Агропакгруп";https://semena.market/images/product/463x463/4340.jpg;Нет в наличии;9,6;Агропакгруп
Семена арбуза Чарльстон Грей, 0,5 г (Садыба Центр);Нет описания;1273;Садиба Центр;"Срок созревания Среднеранний; Кожура Светло-зеленая; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/5997.jpg;Нет в наличии;10,5;Садиба Центр
Семена арбуза Кримсон Свит, 10 сем. (Садыба Центр);Среднеранний, распространенный и признанный сорт арбуза. Плоды круглой формы, весом 8-11 кг. Мякоть хрустящая, темно-красная, без прожилок, очень сладкая. По содержанию сахара с ним не может сравниться ни один из известных сортов и гибридов. Высокие вкусовые и товарные качества. Цвет кожуры - светлые и зеленые полосы. Отличная транспортабельность. Высокоурожайный даже в условиях засухи.;1272;Садиба Центр;"Срок созревания Среднеранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 10 сем; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/6870.jpg;Нет в наличии;9,5;Садиба Центр
Семена арбуза Кримсон Свит, 0,5 г (Традиция);Невероятно популярный среднеранний сорт. Плоды округлой формы, весом 8-11 кг. Мякоть хрустящая, темно-красная, без прожилок, очень сладкая. По содержанию сахара с ним не может сравниться ни один из известных сортов или гибридов! Отличается высокими вкусовыми, товарными качествами и отличной транспортабельностью. Высокоурожайный даже в условиях засухи.;1571;Садиба Центр;"Срок созревания Среднеранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/6809.jpg;Нет в наличии;5,5;Садиба Центр
Семена арбуза Княжич 1 г (Зиппер);Нет описания;2898;Нет бренда;"Срок созревания Ранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Шаровидная; Упаковка Зиппер; Фасовка 1 г";https://semena.market/images/product/463x463/8962.jpg;Нет в наличии;3,25;Нет каталога
Семена арбуза Баджо F1 1 г (Зиппер);Нет описания;2932;Нет бренда;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Зиппер; Фасовка 1 г";https://semena.market/images/product/463x463/9010.jpg;Нет в наличии;5;Нет каталога
Семена арбуза Чарльстон Грей, 8 шт (Традиция);Нет описания;2387;Садиба Центр;"Срок созревания Среднеранний; Кожура Светло-зеленая; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9663.jpg;Нет в наличии;5,5;Садиба Центр
Семена арбуза Княжич 5 г (Зиппер);Нет описания;3211;Нет бренда;"Упаковка Зиппер; Фасовка 5 г";https://semena.market/images/product/0/0.jpg;Нет в наличии;5,5;Нет каталога
Семена арбуза Изумруд F1 5 сем (Садыба Центр);Нет описания;3691;Садиба Центр;"Срок созревания Среднеранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 5 сем; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9892.jpg;Нет в наличии;14,5;Садиба Центр
Семена арбуза Леди F1 10 сем (Садыба Центр);Нет описания;3619;Садиба Центр;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 10 сем; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9735.jpg;Нет в наличии;46;Садиба Центр
Семена арбуза Ау Продюссер 10 г (Традиция);Нет описания;3565;Садиба Центр;"Срок созревания Среднеспелый; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 10 сем; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9650.jpg;Нет в наличии;44;Садиба Центр
Семена арбуза Княжич 10 г (Традиция);Нет описания;3567;Садиба Центр;"Срок созревания Ранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 10 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9684.jpg;Нет в наличии;16;Садиба Центр
Семена арбуза Кримсон свит 10 г (Традиция);Нет описания;3568;Садиба Центр;"Срок созревания Среднеранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 10 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9651.jpg;Нет в наличии;44;Садиба Центр
Семена арбуза Огонёк 1 г (Традиция);Нет описания;3602;Садиба Центр;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9652.jpg;Нет в наличии;5;Садиба Центр
Семена арбуза Снежок 1 г (Традиция);Нет описания;3569;Садиба Центр;"Срок созревания Поздний; Кожура Светло-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9653.jpg;Нет в наличии;5;Садиба Центр
Семена арбуза Чарльстон Грей 10 г (Традиция);Нет описания;3570;Садиба Центр;"Срок созревания Среднеранний; Кожура Светло-зеленая; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 10 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9685.jpg;Нет в наличии;38;Садиба Центр
Семена арбуза Шуга Бейби 10 г (Традиция);Нет описания;3734;Садиба Центр;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 10 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/10074.jpg;Нет в наличии;44;Садиба Центр
Семена арбуза Сахарный малыш 10 сем (Зиппер);Нет описания;3898;Нет бренда;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Зиппер; Фасовка 10 г";https://semena.market/images/product/463x463/10657.jpg;Нет в наличии;3;Нет каталога
Семена арбуза Астраханский 2 г (Яскрава);Нет описания;3932;Яскрава;"Срок созревания Среднеспелый; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 2 г; Торговая марка Яскрава";https://semena.market/images/product/463x463/10427.jpg;Нет в наличии;4,5;Яскрава
Семена арбуза Бочка Мёда 1,5 г. (Яскрава);Нет описания;3933;Яскрава;"Срок созревания Среднеспелый; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 1,5 г; Торговая марка Яскрава";https://semena.market/images/product/463x463/12369.jpg;Нет в наличии;4,5;Яскрава
Семена арбуза Скорик 1,5 г (Яскрава);Нет описания;3934;Яскрава;"Срок созревания Сверхранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1,5 г; Торговая марка Яскрава";https://semena.market/images/product/463x463/12370.jpg;Нет в наличии;4,5;Яскрава
Семена арбуза Скорик 20 г (Яскрава);Нет описания;4092;Яскрава;"Срок созревания Сверхранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 20 г; Торговая марка Яскрава";https://semena.market/images/product/463x463/10419.jpg;Нет в наличии;15,5;Яскрава
Семена арбуза Шуга Бэби 10 г (Яскрава);Нет описания;4093;Яскрава;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 10 г; Торговая марка Яскрава";https://semena.market/images/product/463x463/10417.jpg;Нет в наличии;14;Яскрава
Семена арбуза Холодок 2 г (Яскрава);Нет описания;4548;Яскрава;"Срок созревания Среднепоздний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 2 г; Торговая марка Яскрава";https://semena.market/images/product/463x463/11099.jpg;Нет в наличии;0;Яскрава
Семена арбуза Бочка Меда 10 г (Яскрава);Нет описания;4917;Яскрава;"Срок созревания Среднеспелый; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округло-овальная; Упаковка Мини пакет; Фасовка 10 г; Торговая марка Яскрава";https://semena.market/images/product/463x463/11522.jpg;Нет в наличии;14;Яскрава
Семена арбуза Чарльстон Грей 2 г (Яскрава);Нет описания;4977;Яскрава;"Срок созревания Среднеспелый; Кожура Светло-зеленая; Мякоть Красная; Форма плода Овально-удлиненная; Упаковка Мини пакет; Фасовка 2 г; Торговая марка Яскрава";https://semena.market/images/product/463x463/11523.jpg;Нет в наличии;4,5;Яскрава
Семена арбуза Крізбі F1 8 нас (Садиба Центр);Нет описания;8969;Садиба Центр;"Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 8 сем; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/11745.jpg;Нет в наличии;38;Садиба Центр
Семена арбуза Астраханский 1 г (Традиция);Нет описания;9004;Садиба Центр;[];https://semena.market/images/product/463x463/11742.jpg;Нет в наличии;5;Садиба Центр
Семена арбуза Астраханский 10 г (Традиция);Нет описания;9005;Садиба Центр;"Срок созревания Среднеранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 10 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/11743.jpg;Нет в наличии;15,5;Садиба Центр
Семена арбуза Княжич 1 г (Традиція);Нет описания;9006;Садиба Центр;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/11744.jpg;Нет в наличии;5,5;Садиба Центр
Семена арбуза Бочка меда 20 г. (Яскрава);Нет описания;9480;Яскрава;"Упаковка Мини пакет; Фасовка 20 г; Торговая марка Яскрава";https://semena.market/images/product/463x463/13868.jpg;Нет в наличии;20;Яскрава
