Alfa;Eis Autohaus Alfa Romeo Fiat Lancia Autohaus und KFZ-Reparaturen;46049, Oberhausen, Nordrhein-Westfalen, Zum Eisenhammer 1A;(0208) 81098-0;;https://www.autohaus-eis.de;Alfa,Fiat,Autohandel,Fiat-Werkstatt,Alfa-Werkstatt,Nutzfahrzeug,Autowerkstatt,Gebrauchtwagen, Auto-Klimaanlage desinfizieren,Autohaus,Autolackierung,Autoreparatur,Hauptuntersuchung,Smart-Repair,Tuning
Autowerkstatt;Kfz-Werkstatt Laurent Marin;13581, Berlin, Berlin, Pwesiner Weg 21;(030) 3312067;l.marin@web.de;http://www.kfz-marin.de;Autowerkstatt, Fiat,Alfa Romeo,Unfallreparaturen,Oldtimer-Reparaturen
Autowerkstatt;Stellantis &You Berlin - Alfa Romeo;10315, Berlin, Berlin, Rhinstr. 165;(030) 2000522270;;https://www.motorvillage-berlin.de/haendler?adobe_mc_ref=#splash-contacts-section;Autowerkstatt,Alfa,Autohandel, 
Servicerufnummer;Alfa Romeo Information;, , , ;(0800) 25320000;kontakt@alfaromeo.de;https://www.alfaromeo.de;Servicerufnummer, 
Autohandel;Alfa Romeo Niederlassung Rhein-Ruhr GmbH;47138, Duisburg, Nordrhein-Westfalen, Arnold-Dehnen-Str. 30- 32;(0203) 41070;;;Autohandel,Autowerkstatt,Alfa,Fiat,Alfa-Werkstatt,Nutzfahrzeug,Gebrauchtwagen, 
Autowerkstatt;AUTOHAUS BRGGEMANN GMBH & CO. KG Alfa Romeo;17036, Neubrandenburg, Mecklenburg-Vorpommern, ;(0395) 3629837139;;https://www.ahbrueggemann.de/haendler/alfa-romeo?locationCode=00003348&bannerid=DL&source=WCOR;Autowerkstatt,Alfa,Autohandel, 
Autohandel;Frank Gablenz Alfa Romeo per Passione;10405, Berlin, Berlin, Saarbrcker Str. 24;(030) 47374024;;;Autohandel,Autowerkstatt,Alfa,Gebrauchtwagen, 
Autohandel;Klaiber Ernst GmbH, Verkauf Alfa Romeo;74249, Buchhof, Gemeinde hringen, Baden-Wrttemberg, ;(07941) 9125-420;;;Autohandel,Autowerkstatt,Alfa,Gebrauchtwagen, 
Servicerufnummern Pannendienste;Alfa Romeo, Fiat, Lancia Pannenhilfe;, , , ;(01802) 110110;;;Servicerufnummern Pannendienste,Servicerufnummer, 
Alfa;Vonau Corse;91207, Lauf, Bayern, Hersbrucker Str. 38;(09123) 9808797;vonaucorse@web.de;https://www.vonau-corse.de;Alfa,Gebrauchtwagen,Autohandel,Autowerkstatt, Autoglasfolierung,Autolackfolierung,Car-Hifi,Ersatzfahrzeug,Hauptuntersuchung,Motorinstandsetzung,Tuning,Unfallreparatur
Alfa-Werkstatt;Werkstatt Herholz UG;31515, Wunstorf, Niedersachsen, Hagenburger Str. 50a;(05031) 9394950;info@werkstatt-herholz.de;http://www.werkstatt-herholz.de;Alfa-Werkstatt,Autogas-Umrstung,Fiat-Werkstatt,Autowerkstatt, Wohnmobilwerkstatt,Wohnmobil-Reparaturen,Autoreparaturen,Wartung,Klimaanlagenservice,Autoservice,Alfa Romeo,Italienische Automarken
Alfa;AutoAsse GmbH Fiat Alfa Romeo Autohandel und Service;48653, Coesfeld, Nordrhein-Westfalen, Harle 44A;(02541) 8005-0;autohaus-asse@web.de;http://www.autoasse.de;Alfa,Autohandel,Fiat,Fiat-Werkstatt,Autowerkstatt,Alfa-Werkstatt,Nutzfahrzeug,Gebrauchtwagen, 
;Alfa Romeo, Inhaber Frank Spielmann Autohandel;44141, Dortmund, Nordrhein-Westfalen, Westfalendamm 104;(0231) 8633930;fspielmann@italy-carservice.de;http://www.alfa-fiat-lancia-dortmund.de;, 
Dienstleistung;ALFA-Romeo Auto Moser GmbH & Co. KG;94065, Waldkirchen, Bayern, Schmidpointstr. 4;(08581) 910633;info@auto-moser.de;;Dienstleistung,Antiquitt,Handelsgesellschaft, 
Autohandel;AHaGe Automobil GmbH, Renault Dacia Nissan Fiat Lancia Alfa Romeo Fiat-Professional;41068, Mnchengladbach, Nordrhein-Westfalen, Monschauer Str. 34;(02161) 93910;info@autozentren-pa.de;http://www.autozentren-pa.de;Autohandel,Autowerkstatt,Alfa,Nissan,Fiat,Renault,Alfa-Werkstatt,Gebrauchtwagen, Abgasuntersuchung,Autoglas-Reparatur und -Einbau,Autohaus,Autoleasing,Getriebe Austausch,Hauptuntersuchung,Jahreswagen,Reifenwechsel,Unfallreparatur
Alfa;Auto-Bleuel GmbH Autohaus Fiat/Alfa Romeo Service;36088, Hnfeld, Hessen, Im Stauster 8;(06652) 1210;werkstatt@auto-bleuel.de;https://www.auto-bleuel.de;Alfa,Autohandel,Fiat,Fiat-Werkstatt,Alfa-Werkstatt,Gebrauchtwagen,Autowerkstatt, Abschleppdienst,Achsvermessung,Autohaus,Autolackierung,Hauptuntersuchung,Jahreswagen,Reifendienst,Smart-Repair,Unfallreparatur
