Name;Number;Albums;Labels;description;description_2
Riz Ahmed;21;Not Albums;Not Labels;"Rizwan ""Riz"" Ahmed (born 1 December 1982), also known as Riz MC, is a British actor, rapper, and activist. As an actor, he has won an Emmy Award and has received nominations for a Golden Globe and three British Independent Film Awards. He was initially known for his work in independent films such as The Road to Guantanamo  (2006), Shifty (2008), Four Lions (2010), Trishna (2011), Ill Manors (2012), and The Reluctant Fundamentalist (2013), before his breakout role in Nightcrawler (2014). In 2016, he appeared in the action film Jason Bourne, and played Bodhi Rook in the Star Wars anthology film Rogue One. He also starred as a young man accused of murder in the HBO miniseries The Night Of, earning critical acclaim. At the 2017 Emmy Awards, he received two nominations, for his performance in The Night Of and his guest role in Girls; he won the award for Outstanding Lead Actor in a Limited Series or Movie for the former, becoming the first South Asian male to win an acting Emmy, and the first Muslim and first South Asian to win a lead acting Emmy. He went on to play Carlton Drake / Riot in the superhero film Venom (2018).As a rapper, he is a member of the Swet Shop Boys, earned critical acclaim with the hip hop albums Microscope and Cashmere, and earned commercial success featuring in the Billboard 200 chart topping Hamilton Mixtape, with his song ""Immigrants (We Get the Job Done)"" winning an MTV Video Music Award. As an activist, he is known for his political rap music, has been involved in raising awareness and funds for Rohingya and Syrian refugee children, and has advocated representation at the House of Commons. In 2017, he was included on the front cover of the annual Time 100 list of the most influential people in the world.";Not description
Charles Melton;22;Not Albums;Not Labels;Charles Melton (born January 4, 1991) is an American actor and model. He portrays Reggie Mantle on The CW television series Riverdale. Melton was born in Juneau, Alaska, but spent his childhood in Manhattan, Kansas. He is of Korean and Cherokee descent. Charles studied at Kansas State University, where he played on the football team. He dropped out of college after two years to pursue acting.;Not description
Song Joong-ki;23;Not Albums;Not Labels;Song Joong-ki (born September 19, 1985) is a South Korean actor. He rose to fame in the historical coming-of-age drama Sungkyunkwan Scandal (2010) and the variety show Running Man (2010–2011) as one of the original cast members. Since then, he has played a diverse spectrum of roles in the television series The Innocent Man (2012), Descendants of the Sun (2016), Arthdal Chronicles (2019) and Vincenzo (2021), as well as the hit films A Werewolf Boy (2012), The Battleship Island (2017) and Space Sweepers (2021).;Not description
Lee Donghae;24;Not Albums;Not Labels;Lee Dong-hae (born October 15, 1986), referred to as Donghae, is a South Korean singer, songwriter, composer and actor. He became a trainee under SM Entertainment after winning a prize at SM's Youth Best Contest in 2001. After four years of training, Donghae debuted as a member of boy group Super Junior in November 2005. Since then, he has risen to prominence due to the group's success on the Asian music scene and further participated in the group's projects Super Junior-M, Super Junior-D&E, and the agency's projects SM The Performance. He is one of the first four Korean artists to appear on Chinese postage stamps.;Not description
Hyun Bin;25;Not Albums;Not Labels;"Hyun Bin (born Kim Tae-pyung on September 25, 1982) is a South Korean actor. He is best known for his leading roles in the television dramas My Name is Kim Sam-soon (2005), Worlds Within (2008), Secret Garden (2010–2011), Memories of the Alhambra (2018–2019); as well as the films Confidential Assignment and The Swindlers (2017).";Not description
Vidyut Jamwal;26;Not Albums;Not Labels;"Vidyut Jammwal, is an Indian actor.He is a trained martial artist, having learned kalaripayat since the age of three. He is popularly known as ""The New Age Action Hero of Bollywood"" and ""India's New Action God"" is an Indian film actor and martial artist. He has worked in Bollywood, Kollywood and Tollywood films.";Not description
Rick Yune;27;Not Albums;Not Labels;Rick Yune (born August 22, 1971 as Richard Yun) is a Korean-American actor, screenwriter, producer, martial artist and former model. His most notable roles have been in the movies Snow Falling on Cedars, the first Fast and Furious film The Fast and the Furious, and in the James Bond movie Die Another Day. He was part of the main cast of the Netflix original series Marco Polo until the series was cancelled on December 12, 2016.;Not description
Brian Tee;28;Not Albums;Not Labels;"Jaebeom Takata (Japanese:   Takata Zebomu; born March 15, 1977), known professionally as Brian Tee, is an American actor. He is best known for his starring role as Dr. Ethan Choi in the NBC medical drama Chicago Med and its spin-offs, and has appeared in numerous films and television series including The Fast and the Furious: Tokyo Drift, The Wolverine, Mortal Kombat: Legacy, Jurassic World, and Teenage Mutant Ninja Turtles: Out of the Shadows.";Not description
Wooseok;29;Not Albums;Not Labels;Jung Woo-seok (born January 31, 1998), better known as Wooseok, is a South Korean rapper under Cube Entertainment. He is the main rapper of the boy group PENTAGON.;Not description
Song Kang;30;Not Albums;Not Labels;Song Kang (born April 23, 1994) is a South Korean actor. His notable lead roles in television series include Love Alarm (2019–21), Sweet Home (2020), Nevertheless (2021), and Navillera (2021). At the 57th Baeksang Arts Awards Song received a nomination for Best New Actor – Television.;Not description
L;31;Not Albums;Not Labels;Kim Myung-soo (born March 13, 1992), known professionally as L, is a South Korean singer and actor. He served as a vocalist in boy band Infinite from 2010 and its sub-group Infinite F from 2014 up until his departure from Woollim Entertainment in August 2019. In 2019, L starred in the fantasy romance drama Angel's Last Mission: Love. In 2020, L is set to star in the fantasy romance drama Welcome as a cat who turns into a human male.;Not description
Ki Hong Lee;32;Not Albums;Not Labels;Ki Hong Lee is a Korean-American actor. He is best known for playing the role of Minho in The Maze Runner and Dong Nguyen in the Netflix's series Unbreakable Kimmy Schmidt.;Not description
Sendhil Ramamurthy;33;Not Albums;Not Labels;Sendhil Amithab Ramamurthy (born May 17, 1974) is an American actor. He is best known for his roles as geneticist Mohinder Suresh in the NBC sci-fi drama Heroes and Jai Wilcox in Covert Affairs.;Not description
Cha Eun-woo;34;Not Albums;Not Labels;"Lee Dong-min (born March 30, 1997), professionally known as Cha Eun-woo, is a South Korean singer, actor, and model under the label of Fantagio. He is a member of the South Korean boy group Astro. In April 2020, Cha joined Master in the House as a fixed cast member. At the 2020 SBS Entertainment Awards, he won Rookie Award for Master in the House. In December 2020, Cha starred as the male lead in the tvN drama True Beauty, based on the webtoon of the same name, where he portrays Lee Su-ho, a ""perfect man"" who pays no attention to others.";Not description
Wi Ha-joon;35;Not Albums;Not Labels;"Wi Ha-joon (born Wi Hyun-yi; August 5, 1991) is a South Korean actor and model. He is best known for his roles in the films Gonjiam: Haunted Asylum (2018), Shark: The Beginning (2021) and Midnight (2021), as well as the television series Something in the Rain (2018), Romance Is a Bonus Book (2019), 18 Again (2020), and Squid Game (2021), the lattermost of which brought him international fame.";Not description
Kumail Nanjiani;36;Not Albums;Not Labels;Kumail Ali Nanjiani (born May 2, 1978) is a Pakistani-American comedian, actor, and screenwriter. He is primarily known for his role as Dinesh in the HBO comedy series Silicon Valley (2014–2019) and for co-writing and starring in the romantic comedy film The Big Sick (2017). For co-writing the latter with his wife, Emily V. Gordon, he was nominated for the Academy Award for Best Original Screenplay. In 2018, Time magazine named him one of the 100 most influential people in the world.;Not description
Hrithik Roshan;37;Not Albums;Not Labels;"Hrithik Roshan (English:  , born 10 January 1974) is an Indian actor who appears in Bollywood films. He has portrayed a variety of characters and is known for his dancing skills. One of the highest-paid actors in India, he has won many awards, including six Filmfares, four for Best Actor and one each for Best Debut and Best Actor (Critics). Starting in 2012, he appeared in Forbes India's Celebrity 100 based on his income and popularity.Roshan has frequently collaborated with his father. He made brief appearances as a child actor in several films in the 1980s and later worked as an assistant director on four of his father's films. His first leading role was in the box-office success Kaho Naa... Pyaar Hai (2000), for which he received several awards. Performances in the 2000 terrorism drama Fiza and the 2001 ensemble melodrama Kabhi Khushi Kabhie Gham... consolidated his reputation but were followed by several poorly received films.The 2003 science fiction film Koi... Mil Gaya, for which Roshan won two Filmfare Awards, was a turning point in his career; he also appeared in its sequels: Krrish (2006) and Krrish 3 (2013). He earned praise for his portrayal of a thief in the 2006 adventure film Dhoom 2, Mughal emperor Akbar in the 2008 historical romance Jodhaa Akbar and a quadriplegic in the 2010 drama Guzaarish. He played the lead in the 2011 drama Zindagi Na Milegi Dobara, the 2012 revenge film Agneepath, the 2014 action comedy Bang Bang!, which ranks as his highest-grossing release, and the 2019 biopic Super 30.Roshan has also performed on stage and debuted on television with Just Dance (2011). As a judge on the latter, he became the highest-paid film star on Indian television. He is involved with a number of humanitarian causes, endorses several brands and products and has launched his own clothing line. Roshan was married for fourteen years to Sussanne Khan, with whom he has two children.";Not description
Jinho;38;Not Albums;Not Labels;Jo Jin-ho (born April 17, 1992), better known as Jinho, is a South Korean singer and currently a member of South Korean boy group Pentagon under Cube Entertainment. He is a former SM Entertainment trainee and member of the project group SM the Ballad.;Not description
Yuto;39;Not Albums;Not Labels;Adachi Uto (born January 23, 1998), better known as Yuto, is a Japanese rapper under Cube Entertainment. He is the lead rapper of the boy group PENTAGON.;Not description
Hongseok;40;Not Albums;Not Labels;Yang Hong-seok (born April 17, 1994), better known as Hongseok, is a South Korean singer under Cube Entertainment. He is the lead vocalist of the boy group PENTAGON.;Not description
Lee Byung-hun;41;Not Albums;Not Labels;"Lee Byung-hun (Korean: ; born July 12, 1970) is a South Korean actor, singer and model. He has received critical acclaim for his work in a wide range of genres, most notably Joint Security Area (2000); A Bittersweet Life (2005); The Good, the Bad, the Weird (2008); the television series Iris (2009); I Saw the Devil (2010); and Masquerade (2012). His critically acclaimed film Inside Men (2015) won him the Best Actor prize in three prestigious award ceremonies: 52nd Baeksang Art Awards, 37th Blue Dragon Awards and 53rd Grand Bell Awards — a feat that has yet to be repeated. Lee has five films—Joint Security Area, The Good, the Bad, the Weird, Masquerade, Inside Men and Master—on the list of highest-grossing films in South Korea.In the United States, he is known for portraying Storm Shadow in G.I. Joe: The Rise of Cobra (2009) and its sequel G.I. Joe: Retaliation (2013), and starring alongside Bruce Willis in Red 2 (2013). He portrayed T-1000 in Terminator Genisys (2015) and Billy Rocks, a knife-wielding gunslinger, in The Magnificent Seven (2016). Lee was the first South Korean actor to present an Oscar at the annual Academy Awards in Los Angeles and is a member of the Academy of Motion Picture Arts and Sciences. Lee and Ahn Sung-ki were the first South Korean actors to imprint their hand and foot prints on the forecourt of Grauman's Chinese Theatre in Hollywood, Los Angeles.";Not description
Dimash Kudaibergen;42;Not Albums;Not Labels;"Dinmukhamed Kanatuly Kudaibergen (born May 24, 1994), also known as Dimash Kudaibergen, is a Kazakh singer, songwriter and multi-instrumentalist. His parents Kanat Kudaibergenuly Aitbayev and Svetlana Aitbayeva are well-known and honored singers of Kazakhstan. Kudaibergen began performing at a young age, singing and playing the piano at various venues and contests throughout his childhood. He gained significant popularity in Kazakhstan and in post-Soviet countries in 2015, upon becoming the Grand Prix winner of Slavianski Bazaar in Vitebsk, Belarus. In 2015 and 2016 Kudaibergen performed in various European and Asian countries, and in 2016 he toured Kazakhstan, naming his tour Unforgettable Day, after his own song by the same name. In 2016 he received the award for ""Pop Artist"" at the People’s Favorite award ceremony in Kazakhstan. Kudaibergen rose to fame in China with his participation in Hunan TV's popular Singer 2017 where he reached the final and finished as runner-up.";Not description
Randall Park;43;Not Albums;Not Labels;Randall Park (born March 23, 1974) is an American actor, comedian, and writer. He has appeared in numerous web series on Channel 101, including Dr. Miracles and IKEA Heights. He has also appeared in a few short films by Wong Fu Productions. In 2012, he gained popularity playing Steve, a prank replacement of Jim Halpert in an episode of the NBC sitcom The Office. He also appears in the Marvel Cinematic Universe as Agent Jimmy Woo in the 2018 film Ant-Man and the Wasp and 2021 miniseries WandaVision, as a future version of himself in the 2021 Dwayne Johnson autobiographical comedy series Young Rock, and in the DC Extended Universe film Aquaman (2018) as Dr. Stephen Shin.;Not description
Bowen Yang;44;Not Albums;Not Labels;Not description;Bowen Yang (born November 6, 1990) is an actor, comedian and writer. He is the first Chinese-American SNL castmember. 
Aditya Roy Kapur;45;Not Albums;Not Labels;Aditya Roy Kapur (born 16 November 1985) is an Indian film actor who works in Hindi films. After making his acting debut with the 2009 musical dramedy London Dreams, Kapur was praised for portraying an aspiring magician in the 2010 romantic drama Guzaarish. In 2013, he received wider success by featuring in the musical romantic film Aashiqui 2 and the romantic comedy Yeh Jawaani Hai Deewani, both of which were among the top-grossing productions of the year. The latter earned him a nomination for the Filmfare Award for Best Supporting Actor.;Not description
Lewis Tan;46;Not Albums;Not Labels;Not description;Not description
Daniel Dae Kim;47;Not Albums;Not Labels;"Daniel Dae Kim (Korean: ; born Kim Dae-hyun on August 4, 1968) is a Korean-American actor, voice actor, and producer.  He is known for his roles as Jin-Soo Kwon in Lost, Chin Ho Kelly in Hawaii Five-0, Gavin Park in Angel and Johnny Gat in the Saints Row series of video games. He also runs a production company called 3AD, which is currently producing the television series The Good Doctor.";Not description
Will Yun Lee;48;Not Albums;Not Labels;Will Yun Lee (born March 22, 1971) is an American actor and martial artist. He is best known for his roles as Danny Woo in the supernatural drama Witchblade and Jae Kim in the sci-fi series Bionic Woman. He has also appeared in the films Die Another Day (2002), Elektra (2005) and The Wolverine (2013). He had a recurring role as Sang Min in Hawaii Five-0, played one of the bodies of series protagonist Takeshi Kovacs in Altered Carbon, and voiced Wei Shen in the game Sleeping Dogs (2012).  He is currently seen on the ABC medical drama The Good Doctor playing Dr. Alex Park.;Not description
John Abraham;49;Not Albums;Not Labels;John Abraham  (born 17 December 1972) is an Indian film actor, film producer and former model who appears in Hindi films. After modelling for numerous advertisements and companies, he made his film debut with Jism (2003), which earned him a Filmfare Best Debut Award nomination. This was followed by his first commercial success, Dhoom (2004). He received two Filmfare Award nominations, for his negative roles in Dhoom, and in Zinda (2006). He later appeared in the major critical success Water (2005). He was nominated for a Filmfare Award for Best Supporting Actor for the film Baabul (2006). Since then, Abraham has starred in many critically and commercially successful films including Garam Masala (2005), Taxi No. 9211 (2006), Dostana (2008), New York (2009), Force (2011), Housefull 2 (2012), Race 2 (2013), Shootout at Wadala (2013), Madras Cafe (2013), Welcome Back (2015), Dishoom (2016), Satyameva Jayate (2018) thus establishing himself as a commercially successful actor of Hindi cinema.In 2012, Abraham produced his first film Vicky Donor, which was a critical and commercial success, and earned him a National Film Award for Best Popular Film Providing Wholesome Entertainment. He then established his own production house, John Abraham Entertainment. His second film as a producer was Madras Cafe, which garnered critical acclaim. In 2018, after many delays his movie Parmanu: The Story of Pokhran released becoming his biggest solo success which then changed shortly after with Satyameva Jayate which is currently his biggest commercial success. Beyond his acting career, he is the owner of the Indian Super League football team NorthEast United FC. He has often performed many dangerous stunts in his films. He is also a vegetarian, and is a strong advocate for animal rights.;Not description
Harry Shum, Jr.;50;Not Albums;Not Labels;Harry Shum Jr. (born April 28, 1982) is a Costa Rican-American actor, singer, dancer, and choreographer. He is best known for his roles as Mike Chang on the Fox television series Glee (2009–2015), and as Magnus Bane on the Freeform television series Shadowhunters (2016–2019). He was nominated for four Screen Actors Guild Awards for his performance in Glee, winning once and he won the award for The Male TV Star of 2018 in the E! People's Choice Awards for Shadowhunters.He has appeared in the films Step Up 2: The Streets (2008), Step Up 3D (2010), White Frog (2012), Revenge of the Green Dragons (2014), Crouching Tiger, Hidden Dragon: Sword of Destiny (2016), Crazy Rich Asians (2018), the Hulu web series The Legion of Extraordinary Dancers (2010–2011) and the YouTube Red series Single by 30 (2016).;Not description
Dwayne Johnson;51;Not Albums;Not Labels;"Dwayne Douglas Johnson (born May 2, 1972), also known by his ring name The Rock, is an American actor, producer, and former professional wrestler. Johnson was a professional wrestler for the World Wrestling Federation (WWF, now WWE) for eight years prior to pursuing an acting career. His films have grossed over $3.5 billion in North America and over $10.3 billion worldwide, making Johnson one of the highest-grossing box-office stars of all time.Johnson was a college football player for the University of Miami, with whom he won a national championship in 1991. He initially aspired for a professional career in football and entered the 1995 NFL Draft, but he went undrafted. As a result, Johnson signed with the Calgary Stampeders of the Canadian Football League (CFL), but was cut from the team in the middle of his first season. Shortly after, he began training as a professional wrestler.In 1996, Johnson secured a contract with the WWF and was promoted as the first third-generation wrestler in the company's history, as he is the son of Rocky Johnson and grandson of Peter Maivia. He rose to prominence after developing a charismatic persona of a boastful trash-talking wrestler named The Rock. He subsequently won his first WWF Championship in 1998 and helped usher the WWF into the ""Attitude Era"", a boom period in the company's business in the latter 1990s and early 2000s which still hold professional wrestling records for television ratings. In 2004, he left the WWE to pursue an acting career and went on a seven-year hiatus before returning in 2011 as a part-time performer until 2013, before wholly retiring in 2019.Considered to be one of the greatest professional wrestlers and biggest draws of all-time, The Rock headlined the most bought professional wrestling pay-per-view event, WrestleMania XXVIII, and was featured in among the most watched episodes of WWE's television shows, WWE Raw and WWE SmackDown. He has won several championships, being a two-time Intercontinental Champion, a five-time tag team champion, and a ten-time world champion. He was also a Royal Rumble match winner and WWE's sixth Triple Crown champion.Johnson had his first acting role in The Mummy Returns (2001), and played his first lead role in the spin-off The Scorpion King (2002). He has since starred in numerous other films, including The Rundown (2003), The Other Guys (2010), Moana (2016), and Jumanji: Welcome to the Jungle (2017). Johnson's most successful box office role has been Luke Hobbs in The Fast and the Furious franchise. He first appeared as the character in Fast Five (2011) and helped catapult the film series into one of the top-grossing movie franchises in history. The character's popularity led to The Fast and the Furious spin-off movie Hobbs & Shaw (2019).Johnson has also attained success as an author and producer. In 2000, he released an autobiography titled The Rock Says... which debuted at number one on The New York Times Best Seller list.  In 2012, he founded the entertainment production company Seven Bucks Productions, which has since produced several films. Consistently ranked among the world's highest paid actors, Johnson made the Time 100 Most Influential People in the World list in both 2016 and 2019.";Not description
Huang Xiaoming;52;Not Albums;Not Labels;"Huang Xiaoming (simplified Chinese: ; traditional Chinese: ; pinyin: Hung Xiomng, born 13 November 1977) is a Chinese actor, singer, and model. He graduated from the Performance Institute of the Beijing Film Academy in 2000. Huang first rose to prominence in 2001 for playing Emperor Wu of Han in the television series The Prince of Han Dynasty. In 2007, Huang signed a contract with Huayi Brothers and began focusing on his film career, appearing in films like The Sniper (2009), The Message (2010), and Sacrifice (2010). Huang is best known for his roles in television as Yang Guo in The Return of the Condor Heroes (2006), Xu Wenqiang in Shanghai Bund (2007), Luo Xi in  Summer's Desire (2010), Yue Fei in The Patriot Yue Fei (2013) and Zuo Zhen in Cruel Romance (2015); as well as his roles in films American Dreams in China (2013) and Xuanzang (2016).Huang ranked 8th on Forbes China Celebrity 100 list in 2013, 4th in 2014, 5th in 2015, and 16th in 2017.";Not description
Chris Pang;53;Not Albums;Not Labels;Christopher Pang is an Australian actor and producer of Chinese descent. He is best known for his role as Colin Khoo in Crazy Rich Asians (2018) and Lee Takkam in Tomorrow, When the War Began (2010).;Not description
Gong Yoo;54;Not Albums;Not Labels;Gong Ji-cheol (born July 10, 1979), better known by his stage name Gong Yoo, is a South Korean actor. He is best known for his roles in the television dramas Coffee Prince (2007), Guardian: The Lonely and Great God (2016–2017), The Silent Sea (2021), and Squid Game (2021), and the films Silenced (2011), Train to Busan (2016) and The Age of Shadows (2016).;Not description
